19;Blonk Hol- 19;V;;V;Al aangepast op website BC;1874/20413;;Kaart van Holland, Zacharias Heyns, 1598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Blonk Hol- 20;wel gescand;;;Niet in tentoonstelling?;1874/20414;;Kaart van de Kop van Noord-Holland, Zacharias Heyns, 1598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Blonk Hol- 21;V;;;Al aangepast op website BC;1874/20415;;Kaart van Holland, Barent Langenes, 1598 (1602/1606);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Blonk Hol- 22;V;;;Al aangepast op website BC;1874/20416;;Kaart van Holland, Johannes Keerbergen, 1601 (1609/1612);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Blonk Hol- 23;V;;;Dspace aangepast;1874/20417;;Kaart van Holland, Jodocus Hondius sr., 1607 (1608/1613/1614);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Blonk Hol- 24;V;;;Dspace aangepast;1874/20418;;Kaart van Holland, Jodocus Hondius sr., 1607 (1635);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Blonk Hol- 25;V;;;Dspace aangepast;1874/20419;;Kaart van Holland, Jodocus Hondius sr., 1611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Blonk Hol- 26;V;;;Dspace aangepast;1874/20420;;Kaart van Holland, Jan Pietersz. Saenredam, 1589 (1613-1648);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Blonk Hol- 27;V;;;Dspace aangepast;1874/20421;;Kaart van Holland, Jan Jansz., 1613 (1617);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Blonk Hol- 28;V;;;Dspace aangepast;1874/20422;;Kaart van Holland, Abraham Goos, 1616 (1616-1672);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Blonk Hol- 29;V;;;Dspace aangepast;1874/20423;;Kaart van Holland, Pieter van den Keere, 1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Blonk Hol- 30;V;;;Dspace aangepast;1874/20424;;Kaart van Holland, Willem Jansz. Blaeu en Rombout van den Hoeye, 1608 (ca. 1650);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Blonk Hol- 31;V;;;Dspace aangepast;1874/20425;;Kaart van Holland, Balthasar Florisz. van Berckenrode & Henricus Hondius, 1629 (1633/1639);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Blonk Hol- 32;V;;;Dspace aangepast;1874/20426;;Kaart van Holland, Balthasar Florisz. van Berckenrode & Johannes Janssonius, 1641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Blonk Hol- 33;V;;V;Dspace aangepast;1874/20427;;Kaart van Holland, Jan Evertsz. Cloppenburgh, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Blonk Hol- 34;V;;V;Dspace aangepast;1874/20428;;Kaart van Holland, Gregorio Leti, 1690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Blonk Hol- 35;V;;V;Dspace aangepast;1874/20429;;Kaart van Holland, Marcus Zuerius Boxhorn, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Blonk Hol- 36;V;;V;Dspace aangepast;1874/20430;;Kaart van het zuidelijk deel van Holland, Marcus Zuerius Boxhorn, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Blonk Hol- 37;V;;V;Dspace aangepast;1874/20431;;Lijkt info van vorige kaart bij te zitten. (Blonk-Hol 36);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Blonk Hol- 38;V;;V;Dspace aangepast;1874/20432;;Kaart van het centrale deel van Holland, Marcus Zuerius Boxhorn, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Blonk Hol- 39;V;;V;Dspace aangepast;1874/20433;;Kaart van het noordelijk deel van Holland, Marcus Zuerius Boxhorn, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Blonk Hol- 40;V;;;Dspace aangepast;1874/20434;;Kaart van Holland, Christophe Tassin, 1634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Blonk Hol- 41;V;;;Dspace aangepast;1874/20435;;Kaart van Holland, Jodocus Hondius jr., 1616 (1634/1635);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Blonk Hol- 42;V;;;Dspace aangepast;1874/20436;;Kaart van het noordelijk deel van Holland, Jodocus Hondius jr., 1616 (1634/1635);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Blonk Hol- 43;V;;;Dspace aangepast;1874/20437;;Kaart van het zuidelijk deel van Holland, Jodocus Hondius jr., 1616 (1634/1635);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Blonk Hol- 44;V;;;Dspace aangepast;1874/20438;;Kaart van Holland, Jacob Aertsz. Colom, 1635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Blonk Hol- 45;V;;;Dspace aangepast;1874/20439;;Kaart van Holland, Jacob Aertsz. Colom, 1635 (1706-1729);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Blonk Hol- 46;V;;;Dspace aangepast;1874/20440;;Kaart van het centrale deel van Holland, Jacob Aertsz. Colom, ca. 1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Blonk Hol- 47;V;;;Dspace aangepast;1874/20441;;Kaart van Holland, Cornelis Danckerts jr., 1636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Blonk Hol- 48;V;;;;1874/20442;;Kaart van het noordelijk deel van Holland, Willem Jansz. en Joan Blaeu, ná 1642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Blonk Hol- 49;V;;;;1874/20443;;Kaart van Holland, Johannes Janssonius, 1647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Blonk Hol- 50;V;;;;1874/20444;;Kaart van Holland, Johannes Janssonius, 1647 (ca. 1702);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Blonk Hol- 51;V;;;;1874/20445;;Kaart van Holland, Johannes Janssonius, 1648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Blonk Hol- 52;v;;;;1874/20446;;Kaart van Holland, Caspar Merian, 1654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Blonk Hol- 53;v;;;;1874/20447;;Kaart van het noordelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (1695);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Blonk Hol- 54;v;;;;1874/20448;;Kaart van het noordelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (ca. 1700);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Blonk Hol- 55;v;;;;1874/20449;;Kaart van het noordelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (ca. 1698);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Blonk Hol- 56;v;;;;1874/20450;;Kaart van het zuidelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (1674);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Blonk Hol- 57;v;;;;1874/20451;;Kaart van het zuidelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (1695);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Blonk Hol- 58;v;;;;1874/20452;;Kaart van het zuidelijk deel van Holland, Guillaume Sanson en Alexis Hubert Jaillot, 1673 (1760);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Blonk Hol- 59;v;;;;1874/20453;;Kaart van Holland, Justus Danckerts, ca. 1680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Blonk Hol- 60;v;;;;1874/20454;;Kaart van Holland, Franciscus Carolus, ca. 1680 (ca. 1700);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Blonk Hol- 61;v;;;;1874/20455;;Kaart van Holland, Carel Allard, 1683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Blonk Hol- 62;v;;;;1874/20456;;Kaart van Holland, Frederick de Wit, ca. 1670 (ca. 1690);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Blonk Hol- 63;v;x?;;;1874/20457;;Kaart van Holland, Pieter Mortier, 1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Blonk Hol- 64;v;;;;1874/20458;;Kaart van het noordelijk deel van Holland, Pieter Mortier, 1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Blonk Hol- 65;v;;;;1874/20459;;Kaart van het zuidelijk deel van Holland, Pieter Mortier, 1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Blonk Hol- 66;v;;;;1874/20460;;Kaart van Holland, Jacques Harrewijn en Jacques Peeters, 1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Blonk Hol- 67;v;;;;1874/20461;;Kaart van het noordelijk deel van Holland, Vincenzo Coronelli, 1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Blonk Hol- 68;v;;;;1874/20462;;Kaart van het zuidelijk deel van Holland, Vincenzo Coronelli, 1692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Blonk Hol- 69;v;;;;1874/20463;;Kaart van Holland, Nicolaas Visscher II, ca. 1690 (ca. 1696);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Blonk Hol- 70;v;;;;1874/20464;;Kaart van Holland, Anthoni de Winter, 1685 (1697);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Blonk Hol- 71;v;;;;1874/20465;;Kaart van Holland, Claes Jansz. Visscher en Nicolaas Visscher I, 1652 (ca. 1725);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Blonk Hol- 72;v;;;;1874/20466;;Kaart van Holland, Anthoni de Winter, 1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Blonk Hol- 73;v;;;;1874/20467;;Kaart van Holland, Anthoni de Winter, 1700 (1705);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Blonk Hol- 74;v;;;;1874/20468;;Kaart van Holland, Caspar Specht, 1704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Blonk Hol- 75;v;;;;1874/20469;;Kaart van Holland, Caspar Specht, 1704 (ca. 1725);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Blonk Hol- 76;v;;;;1874/20470;;Kaart van Holland, Vincenzo Coronelli, 1706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Blonk Hol- 77;v;;;;1874/20471;;Kaart van Holland, Jacques Harrewijn en Francisco Laso, 1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Blonk Hol- 78;v;;;;1874/20472;;Kaart van het zuidelijk deel van Holland, Reinier en Josua Ottens, ca. 1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Blonk Hol- 79;v;;;;1874/20473;;Kaart van Holland, Pieter van der Aa, 1713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Blonk Hol- 80;v;;;;1874/20474;;Kaart van Holland, Domenico Lovisa, 1697 (1724);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Blonk Hol- 81;v;;;;1874/20475;;Kaart van het zuidelijk deel van Holland, Reinier en Josua Ottens, ca. 1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Blonk Hol- 82;v;;;;1874/20476;;Kaart van Holland, François Halma, 1725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Blonk Hol- 83;v;;;;1874/20477;;Kaart van Holland, Erven Homann, 1733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Blonk Hol- 84;v;x;;;1874/20478;;Kaart van Holland, Jacob Aertsz. Colom, 1639 (1721-1726);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Blonk Hol- 85;v;;;;1874/20479;;Kaart van Holland, Giambatista Albrizzi, 1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Blonk Hol- 86;v;;;;1874/20480;;Kaart van Holland, Francesco Ricciardo, 1741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Blonk Hol- 87;v;;;;1874/20481;;Kaart van Holland, Matthäus Seutter, ca. 1741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Blonk Hol- 88;v;;;;1874/20482;;Kaart van Holland, Johann Michael Probst, 1791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Blonk Hol- 89;v;;;;1874/20483;;Kaart van Holland, Isaak Tirion, ca. 1739 (1744-1804);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Blonk Hol- 90;v;;;;1874/20484;;Kaart van het centrale deel van Holland, Isaak Tirion, 1745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Blonk Hol- 91;V;;;;1874/20485;;Kaart van Holland, Georges-Louis Le Rouge, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Blonk Hol- 92;V;;;;1874/20486;;Kaart van Holland, Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Blonk Hol- 93;V;;;;1874/20487;;Kaart van Holland, Gilles Robert de Vaugondy, ca. 1799?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Blonk Hol- 94;V;;;;1874/20488;;Kaart van de Kop van Noord-Holland (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Blonk Hol- 95;V;;;;1874/20489;;Kaart van het centrale deel van Noord-Holland (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Blonk Hol- 96;V;;;;1874/20490;;Kaart van Noordwest-Overijssel (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Blonk Hol- 97;V;;;;1874/20491;;Kaart van het centrale deel van Holland (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Blonk Hol- 98;V;;;;1874/20492;;Kaart van het noordelijk deel van Utrecht (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Blonk Hol- 99;V;;;;1874/20493;;Kaart van de Veluwe (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Blonk Hol- 100;V;;;;1874/20494;;Kaart van de Zuid-Hollandse Eilanden (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Blonk Hol- 101;V;;;;1874/20495;;Kaart van het zuidoostelijk deel van Holland, Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Blonk Hol- 102;V;;;;1874/20496;;Kaart van het hertogdom Gelre en Kleef (deelkaart Holland), Gilles Robert de Vaugondy, 1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Blonk Hol- 103;V;;;;1874/20497;;Kaart van Holland, Jacques Nicolas Bellin, 1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Blonk Hol- 104;V;;;;1874/20498;;Kaart van het noordelijk deel van Holland, Reinier en Josua Ottens, Firma Elwe & Langeveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Blonk Hol- 105;V;;;;1874/20499;;Kaart van Holland, Franz Ludwig Güssefeld, 1791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Blonk Hol- 106;V;;;;1874/20500;;Kaart van Holland, Franz Johann Joseph von Reilly, 1791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Blonk Hol- 107;V;;;;1874/20501;;Kaart van Holland, Jacobus Kok en J.C. de Roeder, 1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Blonk Hol- 108;V;;;;1874/20502;;Kaart van Holland, Jacobus Kok en J.C. de Roeder, 1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Blonk Hol- 109;V;;;;1874/20543;;Kaart van het zuidelijk deel van Holland, Johannes Covens en Zoon, 1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Blonk Hol- 110;V;;;;1874/20503;;Kaart van het noordelijk deel van Holland, Johannes Covens en Zoon, 1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Blonk Hol- 111;V;a t/m f;;;1874/20544;;Kaart van Holland, Carl Friedrich von Wiebeking, 1796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Blonk Utr-1;V;;;;1874/20545;;Kaart van de provincie Utrecht, Abraham Goos, 1616 (1628);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Blonk Utr-2;V;;;;1874/20546;;Kaart van de provincie Utrecht, Balthasar Florisz. van Berckenrode & Henricus Hondius, 1628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Blonk Utr-3;V;;;;1874/20547;;Kaart van de provincie Utrecht, Jan Evertsz. Cloppenburgh, 1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
