1874-291316;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/39/79/99/39799989172216960233250237186275298166.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291316;Plan van Philippine met het nieuwe project;1751;B.I.B., 1751;;890;610;1800;Moll 665
1874-291317;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/70/15/1270151859424276356044559693974936728.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291317;Afbeelding der Schans Crèvecoeur;1740;;;210;180;8000;Moll 666
1874-291318;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/05/93/110593207808333801666980441174340006001.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291318;[Het fort Crèvecoeur];1750;;;660;600;2700;Moll 667
1874-291319;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/47/04/104704968733517915740675459961853943090.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291319;Plan des environs de la ville et des forts de Berg-Op-Zoom, avec les villages de Wouû et d'Halteren;1748;levé géométriquement par M*** après l'assaut donné par l'armée du Roy le 16 7bre 1747;mis au jour par le Sieur Jaillot;810;570;17000;Moll 668
1874-291320;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/50/39/155039244804968666539372709031737556921.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291320;Plan des environs de Bergopzoom;1747;;;470;210;11150;Moll 669
1874-291321;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/90/88/109088010717017719652681160739048625863.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291321;Plan de l'attaque de la Ville de Bergen op Zoom assiégée et prise par l'Armée Françoise en 1747;1747;;;350;210;700;Moll 670
1874-291322;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/82/18/42/82184289522289043812928759558421808977.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291322;"Front der attaque van Bergen op Zoom, beneevens het project om alle de vervallen gedeeltens in vorigen staat te brengen; als meede om het geheele front te versterken";1750;door A.G. de Rocques en Delage;;590;510;925;Moll 671
1874-291323;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/95/20/47/95204718284615357597252435758266260733.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291323;[Bergen op Zoom];1755;;;590;490;6000;Moll 672
1874-291324;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/32/02/103202080650578064382118428285705696639.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291324;Obsidio Bredae perfecta;1627;;;350;240;;Moll 673
1874-291326;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/73/62/16736231761613710640192045615825570645.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291326;Beleegeringe vande stadt Hertogenbosch anno 1629;1651/52;;;340;270;28000;Moll 675
1874-291327;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/60/07/40/60074044305393496511977017636443500818.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291327;Belegheringhe van 'sHertogenbossche door Syn Excellentie den Prince van Orangien anno 1629;1629;;;430;350;40000;Moll 676
1874-291785;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/42/63/62/42636207253864841175787684447768867005.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291785;Wahre und eigentliche delineatio der trefflichen undt weitberhümten belägerung der vesten statt Hertzogenbusch, alles nach seiner rechten Mass abgetheilt;1630;durch Iacobb Prempart Ingenieur;;350;270;35000;Moll 677
1874-291786;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/14/30/75/143075442784195890633245893287172620354.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291786;Nouvelle carte representant la ville de Bolduc en plan, avec ses rempars, fossez, forteresses d'alentour etc. ensemble les approches de chaq. quartier de ceux de dehors jusques a la dite ville;1649;tout mesuré et dessigné par le Sr. Jacques Prempart, Ingenieur du Roy de Swede;;520;390;8575;Moll 678
1874-291682;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/14/22/88/142288569093916411484387078870897299616.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291682;Warachtige anwijsing met stippelen van[de] tocht gedaen van Syn Excellentie Mauritij van Nassouwen met den Leger vande Edelmogende Heeren Staten Generael der Vereenichde Provincien, anno 1602 doort landt van Luyck ende int wederkeeren door Brabant, alsoo [...];1619;dese kaert verbetert met het meten en[de] annoteren van[de] Bommeler waert met de riveren by Floris Baltesers;;320;200;460000;Moll 679
1874-291683;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/63/47/32/63473203704179610665247449651239557054.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291683;[Het beleg en de aanval op Grave];1588;;;270;210;;Moll 680
1874-291684;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/66/92/04/66920417893632131363705743842283071475.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291684;Hic est situs oppidi Graviae cum á Excellentia de Nassou occuparetur anno 1602 Septembris 2;1612;;;350;250;4000;Moll 681
1874-291685;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/70/07/59/70075932732279833802560016497601086549.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291685;Gravia obsessa et expugnata armis Ordinum Belgicae Confoederatae ab illustrissimo principe Mauritio Arausionensium principe Nassauiae Comite, etc. anno 1602;1649;;;530;390;20000;Moll 682
1874-291688;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/13/84/46/13844629565621769812578632837316513040.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291688;Belegh en overgaen der stadt Grave;1675;;;290;180;;Moll 685
1874-291689;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/49/54/104954468719545901177078691291030182966.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291689;De belegeringe van de Graef;1674;;;390;300;;Moll 686
1874-291690;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/26/54/122654240141645888541157886296224279906.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291690;Maestricht met hare sterckten, en bolwercken, soo sij nu belegherdt, ende verscheyden reysen bestormt is;1579;;;400;270;;Moll 687
1874-291691;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/46/47/88/46478869783318095349135491200194091349.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291691;Obsidio et expugnatio Traiecti ad Mosam, facta auspiciiss ... Frederici Henrici... M DC XXXII;1649;;;530;410;27500;Moll 688
1874-291692;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/71/72/22/71722290194425455676912104512899694547.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291692;Plan van eenige geprojecteerde gallerijen onder de bedeckte weegen en glacijen voor het bastion d'Estrades en voor de nieuwe lunet ter linker zijde van het voorgemelde bastion leggende [in Maastricht] ... 1770;1770;;;480;320;650;Moll 689
1874-291693;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/48/99/39/48993983804217303677908764746243945751.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291693;[Plan voor aanpassing van de vesting Maastricht aan de noordzijde van de Maas volgens het Project van Colonel C. Du Moulin];1772;;;280;360;;Moll 690a
1874-291694;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/79/74/127974494278476849502261464830971082533.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291694;Plan van het front tussen bastion D’Estrades en het uitgaan der Tongerse Poort te Maastricht, waar op aangetoond word, de nieuwe te maken redan a, met onderleggende caponieren en poterne ... volgens Project van den Colonel du Moulin ...;1772;;;480;230;1075;Moll 690b
1874-291695;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/44/57/40/44574081418941428003687760969204514890.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291695;Plan van de gallerijen en caponierens, onder den bedekte weg van t’ hoge front voor de Brusselse Prt van bastion D’Estrades, tot bastion Holstein te Maastricht, volgens het Project van den Colonel C: Du Moulin;1772;;;730;260;1425;Moll 690c
1874-291696;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/73/10/17/73101729308391549065311747455220607913.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291696;Project-Plan over het Hooge Front voor de Brusselse Poort te Maastricht vertoonende teffens de generale dispositie der verscheide soorten van gallerijen en andere sous-terrains, die tot de onder-aerdse defentie van t’selve vereijst worden, geformeert door den Colonel C: Du Moulin in t jaar 1772;1772;;;720;450;1425;Moll 690d
1874-291697;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/14/04/74/14047465585305202139715682449411983173.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291697;Plan van het laage front der buitenwerken van Maastricht, begreepen tussen de St. Pieters poort en de rivier de Maas, soo als hetselve sigh tegenwoordig bevind;1772;;;840;580;1050;Moll 690e
1874-291698;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/76/37/117637172373449051048913082345772629845.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291698;Plan van eenige geprojecteerde werken dienende ter verbeeteringe en versterckinge van het laage front der buitenwercken van Maastricht, begreepen tussen de St. Pieters poort en de rivier de Maas;1772;;;830;570;1050;Moll 690f
1874-291699;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/42/24/54/42245493383488013314447403825026783297.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291699;Plan project tot de onderaardsche versterking van het hooge front van Maastricht, begreepen tusschen de bastions Holsteyn en Waldeck door den Directeur Generaal C: D: Du Moulin 1774;1772;;;960;590;1075;Moll 690g
1874-291700;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/39/06/123906277548730837117758259531578524540.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291700;Plan van een gedeelte der buijten werken van Maastricht begreepen tusschen de Tongerse poort en bastion Holsteijn dienende tot aanwysinge der onder aardsche versterking, en wanneer en door wien deselve gemaakt zijn, zeederd den jaare 1771 tot en met den jaare 1774;1772;;;1530;540;1975;Moll 690h
1874-291701;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/41/80/06/41800666714631896555074263269307901609.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291701;Plan du champ de bataille, prés d'Oudenaerde l'11. Juillet 1708;1708;G. Schouten f.;;500;380;30000;Moll 691
1874-291702;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/17/33/09/17330998284927501080226236443919700105.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291702;Mons en Hainaut, avec ses fortifications et ses environs: assiegé par l'Armée des Alliez, sous le Commendement du Prince d'Orange : la tranchée y fut ouverte le 25. Septemb. 1709;1709;;;590;490;10000;Moll 692
1874-258411;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/79/05/67/79056716357286544048578837046935159784.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-258411;Plan de la ville et citadelle de Tournay;1730;P v. Cal s[culpsit];;510;400;10000;Moll 693
1874-291704;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/02/00/160200834276811195379739259691272653409.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291704;Plan de la situation de l'Armée allié campée au bord de l'Eescaut 1744, de même que l'Armée françoise, retranchée derrière La Lis, l'année 1744;1744;;;400;480;140000;Moll 694
1874-291706;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/72/19/157219107590593206665676159858750641506.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291706;Plan de la ville et citadelle d'Anvers;1835;;;540;340;8500;Moll 696
